,Time,Base_B02512,Base_B02598,Base_B02617,Base_B02682,Base_B02764,Base_B02765
206,2014-04-09 14:00:00,52.0,245.0,170.0,362.0,20.0,0.0
207,2014-04-09 15:00:00,80.0,339.0,217.0,464.0,20.0,0.0
208,2014-04-09 16:00:00,97.0,377.0,261.0,512.0,29.0,0.0
209,2014-04-09 17:00:00,116.0,434.0,301.0,609.0,32.0,0.0
210,2014-04-09 18:00:00,82.0,360.0,244.0,513.0,19.0,0.0
211,2014-04-09 19:00:00,72.0,319.0,236.0,497.0,28.0,0.0
212,2014-04-09 20:00:00,67.0,279.0,211.0,418.0,20.0,0.0
213,2014-04-09 21:00:00,61.0,273.0,184.0,449.0,21.0,0.0
214,2014-04-09 22:00:00,45.0,206.0,143.0,309.0,14.0,0.0
215,2014-04-09 23:00:00,13.0,104.0,62.0,177.0,6.0,0.0
216,2014-04-10 00:00:00,10.0,55.0,31.0,76.0,4.0,0.0
217,2014-04-10 01:00:00,2.0,28.0,22.0,52.0,2.0,0.0
218,2014-04-10 02:00:00,5.0,24.0,11.0,31.0,1.0,0.0
219,2014-04-10 03:00:00,8.0,49.0,23.0,69.0,5.0,0.0
220,2014-04-10 04:00:00,12.0,66.0,40.0,104.0,1.0,0.0
221,2014-04-10 05:00:00,23.0,115.0,67.0,152.0,3.0,0.0
222,2014-04-10 06:00:00,58.0,253.0,172.0,341.0,9.0,0.0
223,2014-04-10 07:00:00,48.0,287.0,179.0,435.0,22.0,0.0
224,2014-04-10 08:00:00,48.0,265.0,168.0,335.0,18.0,0.0
225,2014-04-10 09:00:00,44.0,198.0,146.0,260.0,6.0,0.0
226,2014-04-10 10:00:00,45.0,174.0,113.0,222.0,7.0,0.0
227,2014-04-10 11:00:00,61.0,168.0,135.0,252.0,11.0,0.0
228,2014-04-10 12:00:00,44.0,193.0,142.0,231.0,13.0,0.0
229,2014-04-10 13:00:00,66.0,233.0,158.0,347.0,18.0,0.0
230,2014-04-10 14:00:00,67.0,339.0,211.0,417.0,22.0,0.0
231,2014-04-10 15:00:00,99.0,404.0,271.0,534.0,25.0,0.0
232,2014-04-10 16:00:00,113.0,481.0,291.0,641.0,27.0,0.0
